provider	product	model	event_type	source_date	source_time	source_url	status	note
OpenAI	Codex	GPT-5.3-Codex-Spark	RESEARCH_PREVIEW	2026-02-12	TOKEN_VAZIO	https://openai.com/index/introducing-gpt-5-3-codex-spark/	VERIFIED_PRIMARY	Realtime coding preview
Anthropic	Claude	Claude Sonnet 4.6	RELEASE	2026-02-17	TOKEN_VAZIO	https://www.anthropic.com/news/claude-sonnet-4-6	VERIFIED_PRIMARY	Default for Free and Pro noted in source
GitHub	Copilot	Claude Opus 4.1 / GPT-5 / GPT-5-Codex	DEPRECATED	2026-02-17	TOKEN_VAZIO	https://github.blog/changelog/2026-02-19-selected-anthropic-and-openai-models-are-now-deprecated/	VERIFIED_PRIMARY	Changelog posted 2026-02-19, effective date 2026-02-17
OpenAI	GPT	GPT-5.4 Thinking + Pro	RELEASE	2026-03-05	TOKEN_VAZIO	https://openai.com/index/introducing-gpt-5-4/	VERIFIED_PRIMARY	ChatGPT/API/Codex
OpenAI	GPT	GPT-5.5	RELEASE	2026-04-23	TOKEN_VAZIO	https://openai.com/index/introducing-gpt-5-5/	VERIFIED_PRIMARY	Launch; API availability updated 2026-04-24
GitHub	Copilot Cloud Agent	Claude Haiku 4.5 + GPT-5.4-mini	MODEL_AVAILABILITY	2026-05-18	TOKEN_VAZIO	https://github.blog/changelog/2026-05-18-copilot-cloud-agent-fast-cost-efficient-models-for-simple-tasks/	VERIFIED_PRIMARY	New selectable models
GitHub	Copilot Web	model selection	UPDATE	2026-05-20	TOKEN_VAZIO	https://github.blog/changelog/2026-05-20-updates-to-available-models-in-copilot-on-web/	VERIFIED_PRIMARY	All Gemini models removed from web model picker at that time
OpenAI	GPT	GPT-5.5 Instant	PATCH/UPDATE	2026-05-28	TOKEN_VAZIO	https://help.openai.com/en/articles/9624314-model-release-notes	VERIFIED_PRIMARY	Style/quality update
OpenAI	ChatGPT	o3 + GPT-4.5	RETIREMENT_NOTICE	2026-05-28	TOKEN_VAZIO	https://help.openai.com/en/articles/9624314-model-release-notes	VERIFIED_PRIMARY	Future retirement dates announced
Anthropic	Claude	Claude Opus 4.8	RELEASE	2026-05-28	TOKEN_VAZIO	https://www.anthropic.com/news/claude-opus-4-8	VERIFIED_PRIMARY	Upgrade release
GitHub	Copilot	Gemini 3.1 Pro + 3.5 Flash	MODEL_AVAILABILITY	2026-06-02	TOKEN_VAZIO	https://github.blog/changelog/2026-06-02-gemini-models-in-copilot-cli-cloud-agent-and-the-copilot-app/	VERIFIED_PRIMARY	CLI/cloud agent/app/SDK surfaces
Anthropic	Claude	Fable 5 + Mythos 5	RELEASE	2026-06-09	TOKEN_VAZIO	https://www.anthropic.com/news/claude-fable-5-mythos-5	VERIFIED_PRIMARY	Article includes later suspension/redeployment updates
Anthropic	Claude	Fable 5 + Mythos 5	SUSPENDED	2026-06-12	TOKEN_VAZIO	https://www.anthropic.com/news/claude-fable-5-mythos-5	VERIFIED_PRIMARY	Access suspension recorded in update
Anthropic	Claude	Claude Sonnet 5	RELEASE	2026-06-30	TOKEN_VAZIO	https://www.anthropic.com/news/claude-sonnet-5	VERIFIED_PRIMARY	Sonnet generation launch
Anthropic	Claude	Fable 5 + Mythos 5	REDEPLOYED	2026-07-01	TOKEN_VAZIO	https://www.anthropic.com/news/claude-fable-5-mythos-5	VERIFIED_PRIMARY	Availability restored
OpenAI	GPT	GPT-5.6	RELEASE	2026-07-09	TOKEN_VAZIO	https://openai.com/index/gpt-5-6/	VERIFIED_PRIMARY	Frontier family launch
Anthropic	Claude	Claude Opus 5	RELEASE	2026-07-24	TOKEN_VAZIO	https://www.anthropic.com/news/claude-opus-5	VERIFIED_PRIMARY	Opus generation launch
GitHub	Copilot	Gemini 2.5 Pro + Gemini 3 Flash	DEPRECATED	2026-07-31	TOKEN_VAZIO	https://github.blog/changelog/2026-07-31-gemini-2-5-pro-and-gemini-3-flash-deprecated/	VERIFIED_PRIMARY	Deprecated across Copilot
GitHub	Copilot	multiple models	DEPRECATION_NOTICE	2026-07-31	TOKEN_VAZIO	https://github.blog/changelog/2026-07-31-upcoming-august-2026-model-deprecations-in-github-copilot/	VERIFIED_PRIMARY	Effective date 2026-09-01
GitHub	Copilot	multiple models	DEPRECATED	2026-09-01	TOKEN_VAZIO	https://github.blog/changelog/2026-08-31-selected-github-copilot-models-deprecated/	VERIFIED_PRIMARY	Article published 2026-08-31; effective date next day
GitHub	Copilot	Claude Fable 5.1 + Gemini 3.8 Flash	MODEL_AVAILABILITY	2026-09-04	TOKEN_VAZIO	https://github.blog/changelog/2026-09-04-github-copilot-weekly-releases-august-31/	VERIFIED_PRIMARY	Weekly release note
